ID,year,loan_limit,Gender,approv_in_adv,loan_type,loan_purpose,Credit_Worthiness,open_credit,business_or_commercial,loan_amount,rate_of_interest,Interest_rate_spread,Upfront_charges,term,Neg_ammortization,interest_only,lump_sum_payment,property_value,construction_type,occupancy_type,Secured_by,total_units,income,credit_type,Credit_Score,co-applicant_credit_type,age,submission_of_application,LTV,Region,Security_Type,Status,dtir1
27403,2019,cf,Female,nopre,type1,p4,l1,nopc,nob/c,616500,3.75,-0.0349,0.0,360.0,not_neg,not_int,not_lpsm,818000.0,sb,pr,home,1U,8520.0,CIB,869,CIB,45-54,not_inst,75.36674817,south,direct,0,45.0
48116,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,296500,3.625,0.0757,7412.5,360.0,not_neg,not_int,not_lpsm,498000.0,sb,pr,home,1U,2520.0,EXP,706,CIB,45-54,to_inst,59.53815261,North,direct,0,49.0
33688,2019,cf,Sex Not Available,nopre,type1,p1,l1,nopc,nob/c,456500,3.69,0.1429,621.35,360.0,not_neg,not_int,not_lpsm,478000.0,sb,pr,home,1U,12420.0,CIB,660,EXP,45-54,not_inst,95.50209205,south,direct,0,31.0
37557,2019,cf,Sex Not Available,pre,type1,p3,l1,nopc,nob/c,336500,4.99,1.4408,6202.63,360.0,not_neg,not_int,not_lpsm,478000.0,sb,ir,home,1U,39360.0,CRIF,826,EXP,35-44,to_inst,70.39748954,south,direct,0,19.0
30809,2019,cf,Male,nopre,type2,p3,l1,nopc,b/c,456500,,,,360.0,neg_amm,not_int,not_lpsm,,sb,pr,home,1U,5340.0,EQUI,772,EXP,35-44,to_inst,,North,direct,1,
26979,2019,cf,Joint,nopre,type1,p3,l1,nopc,nob/c,376500,4.125,0.0527,3025.0,360.0,not_neg,not_int,not_lpsm,508000.0,sb,pr,home,1U,5640.0,CIB,713,EXP,>74,to_inst,74.11417323,North,direct,0,20.0
42466,2019,cf,Joint,nopre,type1,p1,l1,nopc,nob/c,216500,4.125,0.6937,1271.68,360.0,not_neg,not_int,not_lpsm,228000.0,sb,pr,home,1U,3240.0,CIB,602,EXP,<25,to_inst,94.95614035,North,direct,0,36.0
33097,2019,cf,Female,nopre,type2,p3,l1,nopc,b/c,156500,3.99,1.2166,2126.58,360.0,not_neg,not_int,not_lpsm,198000.0,sb,pr,home,1U,3120.0,CIB,741,CIB,55-64,to_inst,79.04040404,central,direct,0,45.0
30218,2019,cf,Female,nopre,type1,p4,l1,nopc,nob/c,266500,3.375,-0.2124,0.0,360.0,not_neg,not_int,not_lpsm,628000.0,sb,pr,home,1U,3240.0,CRIF,532,CIB,35-44,not_inst,42.43630573,North,direct,0,30.0
50376,2019,cf,Joint,nopre,type2,p1,l1,nopc,b/c,236500,4.25,0.7518,657.62,360.0,not_neg,not_int,not_lpsm,238000.0,sb,pr,home,1U,2880.0,EXP,702,EXP,35-44,not_inst,99.3697479,North,direct,0,43.0
